Year,Sample,Enclosure,CB,NV,WY,UT
2013,SBFSE350,SE,0.05375,0.6455,0.279125,0.021375
2013,SBFSE351,SE,0.0815,0.753,0.143125,0.02225
2013,SBFSE352,SE,0.078,0.858625,0.038,0.0255
2013,SBFSE354,SE,0.2495,0.58875,0.0765,0.085125
2013,SBFSE355,SE,0.031125,0.634625,0.166,0.167875
2013,SBFSE356,SE,0.046125,0.6815,0.097125,0.1755
2013,SBFSE357,SE,0.048875,0.852625,0.077125,0.021125
2013,SBFSE358,SE,0.245,0.689125,0.045375,0.020375
2013,SBFSE359,SE,0.04525,0.855125,0.058125,0.041375
2013,SBFSE360,SE,0.097375,0.703,0.175625,0.023875
2013,SBFSE361,SE,0.2965,0.6485,0.02925,0.0255
2013,SBFSE362,SE,0.073875,0.803375,0.096125,0.02675
2013,SBFSE363,SE,0.565125,0.396,0.0265,0.012625
2013,SBFSE364,SE,0.32375,0.608,0.03775,0.030625
2013,SBFSE365,SE,0.261625,0.6775,0.032125,0.02875
2013,SBFSE366,SE,0.060375,0.7285,0.062375,0.148625
2013,SBFSE367,SE,0.161125,0.783125,0.035125,0.02075
2013,SBFSE368,SE,0.03975,0.81775,0.050375,0.09225
2013,SBFSE369,SE,0.0785,0.8655,0.031375,0.024875
2013,SBFSE370,SE,0.032875,0.763625,0.092375,0.110875
2013,SBFSE371,SE,0.0505,0.70475,0.054,0.190875
2013,SBFSE373,SE,0.04375,0.87675,0.047375,0.032375
2013,SBFSE374,SE,0.036875,0.864125,0.068,0.031
2013,SBFSE375,SE,0.2965,0.458,0.042,0.2035
2013,SBFSE376,SE,0.040875,0.426125,0.5055,0.0275
2013,SBFSE377,SE,0.038875,0.5955,0.317375,0.048375
2013,SBFSE379,SE,0.094375,0.603625,0.098875,0.2035
2013,SBFSE569A,SE,0.2985,0.48375,0.19,0.02775
2013,SBFSE578A,SE,0.332375,0.567875,0.069625,0.03
2013,Allison,SE,0.063375,0.86525,0.02325,0.048125
2013,Boom,SE,0.024125,0.1285,0.834125,0.01325
2013,Indigoa,SE,0.088875,0.781,0.0995,0.03075
2013,Lisa,SE,0.047,0.86325,0.065375,0.024375
2013,OZ1740,SE,0.75925,0.2045,0.02475,0.01175
2013,SBFSE008,SE,0.027125,0.127875,0.835375,0.00975
2013,SBFSE011,SE,0.314875,0.622625,0.030875,0.0315
2013,SBFSE015/33,SE,0.299625,0.64975,0.034125,0.016625
2013,SBFSE021,SE,0.537875,0.417125,0.0285,0.016625
2013,SBFSE022,SE,0.038125,0.897,0.024125,0.040625
2013,SBFSE023,SE,0.45975,0.1595,0.017,0.3635
2013,SBFSE041,SE,0.142625,0.783375,0.03175,0.0425
2013,SBFSE083,SE,0.042,0.56475,0.0385,0.354875
2013,SBFSE085/33,SE,0.065375,0.83975,0.054,0.040875
2013,SBFSE086,SE,0.045625,0.44025,0.049,0.46525
2013,1625,SE,0.669,0.299375,0.020125,0.011125
2013,SBFSE087/33,SE,0.047,0.600875,0.050125,0.30175
2013,SBFSE089,SE,0.074875,0.84875,0.0515,0.02525
2013,SBFSE321,SE,0.128125,0.582125,0.05325,0.236375
2013,SBFSE344A,SE,0.11375,0.4775,0.385125,0.02375
2013,SBFSE353A,SE,0.0445,0.85875,0.0585,0.0385
