Year,Sample,CB,NV,WY,UT
2018,WA00345,0.2202,0.632,0.1357,0.0118
2018,WA00346,0.1405,0.7144,0.1344,0.0103
2018,WA00347,0.1618,0.6628,0.1641,0.0113
2018,WA00348,0.176,0.6848,0.1249,0.0143
2018,WA00349,0.1597,0.6839,0.1499,0.0067
2018,WA00350,0.1923,0.6676,0.1322,0.008
2018,WA00351,0.2222,0.6458,0.1237,0.0084
2018,WA00352,0.162,0.6833,0.1429,0.0119
2018,WA00353,0.1731,0.6034,0.2176,0.0058
2018,WA00354,0.1694,0.6636,0.1604,0.0067
2018,WA00355,0.1239,0.6663,0.2002,0.0094
2018,WA00356,0.1664,0.6717,0.156,0.0058
2018,WA00357,0.1359,0.7173,0.1383,0.0084
2018,WA00358,0.1248,0.6519,0.2126,0.0107
2018,WA00359,0.1617,0.7034,0.1268,0.0081
2018,WA00360,0.2139,0.6191,0.1552,0.0119
2018,WA00361,0.1598,0.6495,0.1762,0.0146
2018,WA00362,0.1747,0.6426,0.1743,0.0088
2018,WA00363,0.1559,0.6544,0.1797,0.0098
2018,WA00364,0.172,0.5943,0.2281,0.0056
2018,WA00365,0.1943,0.6314,0.1651,0.0092
2018,WA00366,0.2161,0.6133,0.165,0.0057
2018,WA00367,0.2169,0.6621,0.1146,0.0065
2018,WA00368,0.151,0.6508,0.1885,0.0095
2018,WA00369,0.1972,0.6214,0.1732,0.0079
2018,WA00370,0.1668,0.6154,0.2101,0.0079
2018,WA00371,0.2441,0.6106,0.1371,0.008
2018,WA00372,0.1309,0.6843,0.1742,0.0103
2018,WA00373,0.2787,0.5486,0.1654,0.0073
2018,WA00374,0.124,0.6879,0.1787,0.0095
2018,WA00375,0.1334,0.7207,0.1364,0.0098
2018,WA00376,0.2637,0.5718,0.1586,0.0058
2018,WA00377,0.1289,0.6581,0.2038,0.0088
2018,WA00378,0.1497,0.6839,0.1574,0.0089
2018,WA00379,0.1662,0.6834,0.1436,0.0068
2018,WA00380,0.1726,0.6388,0.1814,0.0071
2018,WA00381,0.1988,0.6673,0.1253,0.0084
2018,WA00382,0.1441,0.667,0.1815,0.0076
2018,WA00383,0.2215,0.6592,0.1116,0.0077
